City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
637,Ahmadpur,IN,87.67,overcast clouds,18.7,76.9333,Hengane (Pitashri Niwas)
640,Hambantota,LK,80.11,light rain,6.1241,81.1185,Bungalow 63
645,Zhuhai,CN,85.05,light rain,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
646,Kudahuvadhoo,MV,83.61,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
647,Gigmoto,PH,80.24,scattered clouds,13.7796,124.39,Cj's Travellers Inn
649,Piacabucu,BR,76.39,clear sky,-10.4056,-36.4344,Piaçabuçu News
650,Udaipur,IN,83.3,few clouds,24.5712,73.6918,"Taj Lake Palace, Udaipur"
651,Miramar,US,85.01,clear sky,25.9873,-80.2323,Miramar
652,Mitsamiouli,KM,78.44,clear sky,-11.3847,43.2844,Foyer ADM
656,Cabatuan,PH,76.23,scattered clouds,10.8794,122.486,ROREM'S BOARDING HOUSE
664,Jieshi,CN,79.0,few clouds,22.8134,115.8257,Yuehai Hotel
667,Meadow Lake,US,81.82,clear sky,34.8014,-106.5436,JKL Inc. R.V Park and Storage
669,Conselheiro Pena,BR,81.1,scattered clouds,-19.1722,-41.4722,Hotel Bela Adormecida
672,Trincomalee,LK,82.18,overcast clouds,8.5711,81.2335,Welcombe Hotel
676,Guanica,PR,88.43,broken clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
677,Jibuti,DJ,83.62,clear sky,11.5,42.5,Orchid Main Camp Goubet
682,Kirakira,SB,79.14,overcast clouds,-10.4544,161.9205,SanBiz Lodge
687,Omboue,GA,77.74,overcast clouds,-1.5746,9.2618,Hotel Olako
695,Luwuk,ID,76.82,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
702,Pangai,TO,77.11,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
704,Diamantino,BR,77.79,few clouds,-14.4086,-56.4461,Hotel Delta
706,Borba,BR,83.91,overcast clouds,-4.3878,-59.5939,Hotel da Amazônia
709,Nanakuli,US,83.1,scattered clouds,21.3906,-158.1547,Camp Pālehua
710,Loreto,MX,81.5,clear sky,22.2667,-101.9667,José de Jesús Velásquez mora
711,Bandarbeyla,SO,82.13,clear sky,9.4942,50.8122,JABIR HOTEL
712,Kutum,SD,79.48,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
714,Quang Ngai,VN,77.2,overcast clouds,15.1167,108.8,Central Hotel
720,Moca,DO,80.65,scattered clouds,19.5,-70.5,La Aldea
