City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
162,Atuona,PF,-9.8,-139.0333,80.24,76,19,18.9,few clouds
163,Iwanai,JP,42.9744,140.5089,53.89,98,75,5.14,light rain
164,Ponta Do Sol,PT,32.6667,-17.1,68.0,77,42,5.1,scattered clouds
165,Awjilah,LY,29.1081,21.2869,83.37,9,0,8.03,clear sky
166,Vrangel,RU,42.7297,133.0839,48.22,87,9,3.69,clear sky
167,Aksarayskiy,RU,46.7924,48.0119,72.99,55,46,4.32,scattered clouds
168,Chumikan,RU,54.7183,135.315,32.4,98,100,23.44,snow
169,Pisco,PE,-13.7,-76.2167,69.85,73,40,10.36,scattered clouds
170,Leopold,AU,-38.1833,144.4667,64.56,64,96,11.01,overcast clouds
171,Souillac,MU,-20.5167,57.5167,73.78,75,40,13.73,scattered clouds
172,San Blas,MX,21.5167,-105.2667,103.89,42,0,8.93,clear sky
173,Xiongzhou,CN,25.1167,114.3,68.09,94,84,1.45,broken clouds
174,Kroya,ID,-7.6331,109.2461,77.2,90,96,4.81,light rain
175,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,36.19,76,9,3.53,clear sky
176,Sinnamary,GF,5.3833,-52.95,77.13,94,100,9.28,moderate rain
177,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,67,100,4.94,overcast clouds
178,Provideniya,RU,64.3833,-173.3,37.51,70,0,24.61,clear sky
179,Ananas,HT,19.2466,-71.9557,77.07,52,78,14.03,broken clouds
180,Borogontsy,RU,62.6683,131.1683,43.36,81,100,11.39,overcast clouds
181,Lagoa,PT,39.05,-27.9833,61.92,69,100,12.06,overcast clouds
182,Zhaodong,CN,46.0833,125.9833,41.02,49,28,7.61,scattered clouds
183,Victoria,HK,22.2855,114.1577,85.32,87,71,1.01,broken clouds
184,Qaanaaq,GL,77.484,-69.3632,33.49,74,0,6.11,clear sky
185,Komsomolskiy,UZ,40.4272,71.7189,70.52,40,100,9.22,overcast clouds
186,Jiazi,CN,22.8779,116.067,78.89,88,10,4.65,clear sky
187,Rio Gallegos,AR,-51.6226,-69.2181,35.65,87,75,18.41,broken clouds
188,Cananeia,BR,-25.0147,-47.9267,63.99,60,19,3.38,few clouds
189,Meulaboh,ID,4.1363,96.1285,77.41,91,69,3.33,broken clouds
190,Thompson,CA,55.7435,-97.8558,50.16,93,90,4.61,overcast clouds
191,Copacabana,CO,6.3463,-75.5089,85.73,55,99,4.21,overcast clouds
192,Saldanha,ZA,-33.0117,17.9442,59.05,92,100,5.06,overcast clouds
193,Porto Novo,BJ,6.4965,2.6036,81.3,78,48,8.16,scattered clouds
194,Onega,RU,63.9061,38.1404,39.83,95,100,7.72,overcast clouds
195,Roald,NO,62.5833,6.1333,57.11,93,40,9.22,scattered clouds
196,Takoradi,GH,4.8845,-1.7554,81.27,83,45,9.24,scattered clouds
197,Mildura,AU,-34.2,142.15,62.56,48,57,19.57,broken clouds
198,North Platte,US,41.1239,-100.7654,68.02,82,90,3.0,overcast clouds
199,Kangaatsiaq,GL,68.3065,-53.4641,43.25,38,100,31.25,overcast clouds
200,Cam Ranh,VN,11.9214,109.1591,80.56,86,40,5.82,scattered clouds
201,La Ronge,CA,55.1001,-105.2842,46.62,100,90,14.97,overcast clouds
202,Hualmay,PE,-11.0964,-77.6139,68.41,77,13,8.08,few clouds
203,Bardiyah,LY,31.7561,25.0865,70.9,66,0,5.93,clear sky
204,Alta Floresta,BR,-9.8756,-56.0861,89.42,58,20,4.61,few clouds
205,East London,ZA,-33.0153,27.9116,75.56,36,100,10.09,overcast clouds
206,Ilabaya,PE,-17.4208,-70.5133,75.42,26,79,7.47,broken clouds
207,Shimoni,KE,-4.6476,39.3817,78.73,72,0,17.74,clear sky
208,Taunggyi,MM,20.7833,97.0333,65.19,92,77,3.96,broken clouds
209,Puerto Baquerizo Moreno,EC,-0.9,-89.6,79.79,69,20,16.11,few clouds
210,Hollola,FI,61.05,25.4333,41.02,84,5,3.31,clear sky
211,Kulob,TJ,37.9145,69.783,68.76,40,4,15.66,clear sky
